name,state,lat,lon,population
Birmingham,AL,33.52066,-86.80249,196357
Huntsville,AL,34.7304,-86.58594,215006
Mobile,AL,30.69436,-88.04305,183289
Montgomery,AL,32.36681,-86.29997,195287
Tuscaloosa,AL,33.20984,-87.56917,111338
Little Rock,AR,34.74648,-92.28959,202591
Washington,DC,38.89511,-77.03637,689545
Brandon,FL,27.9378,-82.28592,103483
Cape Coral,FL,26.56285,-81.94953,175229
Clearwater,FL,27.96585,-82.8001,117292
Coral Springs,FL,26.27119,-80.2706,129485
Davie,FL,26.06287,-80.2331,100882
Fort Lauderdale,FL,26.12231,-80.14338,183146
Gainesville,FL,29.65163,-82.32483,145214
Hialeah,FL,25.8576,-80.27811,237069
Hollywood,FL,26.0112,-80.14949,149728
Jacksonville,FL,30.33218,-81.65565,1009833
Lakeland,FL,28.03947,-81.9498,104401
Miami,FL,25.77427,-80.19366,487014
Miami Gardens,FL,25.94204,-80.2456,113187
Miramar,FL,25.98731,-80.23227,137132
Orlando,FL,28.53834,-81.37924,334854
Palm Bay,FL,28.03446,-80.58866,119760
Pembroke Pines,FL,26.00315,-80.22394,166611
Pompano Beach,FL,26.23786,-80.12477,107762
Port Saint Lucie,FL,27.29393,-80.35033,164603
St. Petersburg,FL,27.77086,-82.67927,257083
Tallahassee,FL,30.43826,-84.28073,201731
Tampa,FL,27.94752,-82.45843,414547
West Palm Beach,FL,26.71534,-80.05337,120932
Athens,GA,33.96095,-83.37794,127315
Atlanta,GA,33.749,-84.38798,510823
Columbus,GA,32.46098,-84.98771,206922
Sandy Springs,GA,33.92427,-84.37854,105330
Savannah,GA,32.08354,-81.09983,147780
Springfield,IL,39.80172,-89.64371,114394
Evansville,IN,37.97476,-87.55585,119943
Indianapolis,IN,39.76838,-86.15804,887642
Kansas City,KS,39.11417,-94.62746,152933
Olathe,KS,38.8814,-94.81913,134305
Overland Park,KS,38.98223,-94.67079,186515
Topeka,KS,39.04833,-95.67804,125963
Wichita,KS,37.69224,-97.33754,396119
Ironville,KY,38.45647,-82.69238,288649
Lexington,KY,37.98869,-84.47772,320347
Lexington-Fayette,KY,38.0498,-84.45855,314488
Louisville,KY,38.25424,-85.75941,624444
Meads,KY,38.41258,-82.70905,288649
Baton Rouge,LA,30.44332,-91.18747,227470
Lafayette,LA,30.22409,-92.01984,121374
Metairie,LA,29.98409,-90.15285,138481
Metairie Terrace,LA,29.97854,-90.16396,142489
New Orleans,LA,29.95465,-90.07507,362701
Shreveport,LA,32.52515,-93.75018,187593
